Mean,Time
73.90447425,6046.175299
67.87764957,6046.2666
73.94334513,6046.304449
67.46662903,6046.316401
52.75611103,6046.324369
48.98434922,6046.328685
52.6153095,6046.370186
61.99140871,6046.383134
61.95214495,6046.50166
70.04018169,6046.550465
66.48598958,6046.556773
62.03177117,6046.571713
64.52116738,6046.60425
67.65766269,6046.667663
69.74622437,6046.689575
71.35840789,6046.702855
71.07954206,6046.72344
58.09599825,6046.847278
50.8993217,6046.858566
56.9882413,6046.918327
64.23154753,6046.936587
61.04396659,6046.9917
62.20542891,6047.128486
51.24291046,6047.188911
50.96549665,6047.237716
61.15156168,6047.249336
69.48762434,6047.84595
69.48980226,6047.860226
69.97291946,6048.01494
69.55638904,6048.025564
71.22688422,6048.099602
72.81349415,6048.144422
72.85510351,6048.197875
63.98212193,6048.272908
64.25978149,6048.300797
60.28049793,6048.320717
66.44593221,6048.375166
68.22536075,6048.426295
65.02807617,6048.510956
68.14981974,6048.516268
65.24997292,6048.540505
60.17097764,6048.610558
59.57716095,6048.737052
64.11768311,6048.802457
65.55408105,6048.805777
70.49877848,6048.814077
60.22180714,6048.893426
57.05129883,6048.961155
61.33570126,6048.964475
63.18561401,6049.102922
63.97206468,6049.105578
67.98309351,6049.127158
60.19694991,6049.143426
54.46221802,6049.158035
58.16685894,6049.177955
61.55027832,6049.295485
66.97354424,6049.300465
63.84443382,6049.340637
61.21748151,6049.377158
61.21670837,6049.462483
61.49534523,6049.621846
61.20908162,6049.63745
64.67575474,6049.697211
65.58990511,6049.801793
66.17690552,6049.914343
65.443149,6049.920983
63.49384402,6049.936587
66.65727421,6049.967795
65.34186244,6049.98838
67.74191017,6050
67.73281846,6050.218792
67.43652344,6050.304449
67.77433709,6050.320385
67.65294985,6050.472444
63.18877072,6050.640106
68.63134423,6050.674303
68.40353774,6050.771248
72.10555051,6050.788845
69.89790548,6050.803121
65.94538043,6050.897078
66.50265116,6050.904714
68.52940574,6050.968127
68.52720598,6051.008632
66.9823591,6051.138778
68.62157081,6051.14575
68.59476762,6051.215803
68.83863031,6051.303453
73.21933208,6051.377158
68.54205948,6051.383466
66.45869385,6051.397078
63.50874736,6051.400398
63.33955521,6051.424303
67.27633369,6051.632802
67.77125679,6051.647078
68.81666844,6051.666667
67.38032633,6051.674303
70.27278046,6051.686255
53.15787179,6051.750664
52.04955597,6051.75996
53.31288163,6051.770584
53.94491795,6051.789509
54.32637134,6051.808101
63.45021775,6051.854914
65.16773674,6051.867198
67.34675404,6051.976096
66.2780603,6052.005312
67.32930869,6052.011952
58.73494514,6052.042829
55.72828084,6052.093625
61.93562988,6052.188911
66.13897247,6052.193891
64.85948486,6052.204515
66.23122938,6052.212483
55.24442817,6052.346946
48.63338356,6052.373838
53.95764374,6052.587981
54.21092013,6052.675299
67.18122803,6052.707503
69.13610306,6052.710823
58.8591554,6052.782205
54.44168727,6052.845286
58.99213679,6052.892762
66.22596179,6052.90571
72.72162012,6052.930943
72.99531904,6052.939243
51.62506714,6052.971448
50.59260382,6052.978088
51.83612318,6052.984396
51.33517233,6053.009628
50.55571655,6053.036853
51.26896101,6053.043493
54.65569661,6053.062085
66.94279175,6053.068061
66.00215929,6053.082669
65.27962511,6053.109562
61.56805334,6053.145418
64.18993652,6053.168991
64.83295112,6053.175631
64.77281592,6053.234396
66.02048842,6053.27988
66.1657979,6053.35259
65.79189802,6053.441567
66.36501704,6053.448539
70.3748291,6053.496016
63.36908103,6053.510292
64.14102652,6053.611886
62.55769741,6053.655046
63.94695095,6053.662019
73.53792318,6053.670983
71.75968628,6053.682935
73.37961587,6053.686919
69.20510485,6053.727092
62.66587109,6053.776228
62.35784116,6053.801129
70.63941908,6053.831673
70.63409137,6053.855246
71.57905273,6053.866534
69.30547852,6053.873506
68.25539551,6053.876826
65.01532557,6053.883798
65.83318569,6053.961155
68.5251416,6053.98672
67.14750977,6053.99004
58.87621373,6054.041833
59.03469164,6054.062749
57.70600803,6054.128486
64.89839055,6054.251992
71.55957265,6054.26494
71.03154829,6054.310093
73.00321759,6054.511288
62.76475648,6054.528884
63.65526123,6054.657703
65.08226624,6054.665671
63.22682899,6054.673639
67.00866986,6054.720784
67.84427916,6054.726428
69.94082367,6054.740704
66.25349414,6054.839641
59.58717485,6054.856242
60.24427932,6054.921979
64.99423596,6054.976096
64.70571477,6055.028552
65.9013192,6055.063081
68.3517334,6055.140438
70.71834249,6055.143758
70.76053485,6055.201859
69.8154478,6055.292165
68.78009295,6055.302457
66.91244531,6055.311753
63.71815809,6055.320053
68.09162109,6055.366202
68.4449271,6055.376162
69.28380249,6055.50332
68.6023752,6055.50996
68.37966329,6055.568725
70.22743213,6055.608234
64.27295712,6055.641434
65.31708984,6055.675299
65.3239349,6055.679615
65.54542316,6055.742696
65.56559781,6055.972776
65.50632499,6056.060425
64.85604422,6056.074369
65.47349025,6056.081341
65.93823986,6056.162019
65.82167929,6056.371182
65.81186868,6056.472444
53.87477583,6056.686255
48.59377962,6056.689907
52.76438018,6056.750664
60.8110152,6056.777888
60.92726256,6056.827025
57.17888779,6056.896414
56.03840673,6056.910027
68.63378289,6056.956839
70.16753654,6056.984396
69.34757399,6057.080677
71.9644043,6057.09595
68.26442719,6057.102922
69.17748675,6057.118858
68.65145128,6057.12583
68.28046975,6057.134794
66.00095318,6057.207503
69.69237957,6057.231076
65.22816256,6057.373506
62.95681152,6057.403718
60.8901785,6057.406707
65.92722982,6057.441235
71.8777002,6057.447211
73.77607389,6057.450531
75.14355469,6057.5
73.41797306,6057.506308
73.96427569,6057.517596
63.59055668,6057.536189
63.85352461,6057.580677
61.99240775,6057.663679
62.04598056,6057.710491
61.2252647,6057.820053
62.75792039,6057.826361
68.36440944,6057.846946
65.33154053,6057.86587
67.96638184,6057.87583
68.13272064,6057.88579
68.14378454,6058.024236
69.00201416,6058.037849
68.11226493,6058.053121
69.42896618,6058.064741
70.34985261,6058.068393
63.39996582,6058.095286
58.90098633,6058.130146
63.95390869,6058.136786
70.277371,6058.146746
67.07686198,6058.161023
61.94399607,6058.190903
64.70876268,6058.203519
68.16501912,6058.224104
64.85466797,6058.291169
62.18412205,6058.294489
63.42043762,6058.391102
60.64470215,6058.39907
56.88752441,6058.401062
53.11993177,6058.40405
